Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
233,1964,1963-09-25T00:00:00,,12086,,150,15.4,2,,,
234,1964,1963-09-25T00:00:00,,12087,,150,15.4,2,,,
235,1964,1963-09-25T00:00:00,,12088,,150,15.4,2,,,
236,1964,1963-09-25T00:00:00,,12089,,150,15.4,2,,,
237,1964,1963-09-25T00:00:00,,12090,,150,15.4,2,,,
238,1964,1963-09-25T00:00:00,,12091,,150,15.4,2,,,
239,1964,1963-09-25T00:00:00,,12092,,150,15.4,2,,,
240,1964,1963-09-25T00:00:00,,12093,,150,15.4,2,,,
241,1964,1963-09-25T00:00:00,,12094,,150,15.4,2,,,
242,1964,1963-09-25T00:00:00,,12095,,150,15.4,2,,,
243,1964,1963-09-25T00:00:00,,12096,,150,15.4,2,,,
244,1964,1963-09-25T00:00:00,,12097,,150,15.4,2,,,
245,1964,1963-09-25T00:00:00,,12098,,150,15.4,2,,,
246,1964,1963-09-25T00:00:00,,12099,,150,15.4,2,,,
247,1964,1963-09-25T00:00:00,,12100,,150,15.4,2,,,
248,1964,1963-09-25T00:00:00,,12101,,150,15.4,2,,,
249,1964,1963-09-25T00:00:00,,12102,,150,15.4,2,,,
250,1964,1963-09-25T00:00:00,,12103,,150,15.4,2,,,
251,1964,1963-09-25T00:00:00,,12104,,150,15.4,2,,,
252,1964,1963-09-25T00:00:00,,12105,,150,15.4,2,,,
253,1964,1963-09-25T00:00:00,,12106,,150,15.4,2,,,
254,1964,1963-09-25T00:00:00,,12107,,150,15.4,2,,,
255,1964,1963-09-25T00:00:00,,12108,,150,15.4,2,,,
256,1964,1963-09-25T00:00:00,,12109,,150,15.4,2,,,
257,1964,1963-09-25T00:00:00,,12110,,150,15.4,2,,,
258,1964,1963-09-25T00:00:00,,12111,,150,15.4,2,,,
259,1964,1963-09-25T00:00:00,,12112,,150,15.4,2,,,
260,1964,1963-09-25T00:00:00,,12113,,150,15.4,2,,,
261,1964,1963-09-25T00:00:00,,12114,,150,15.4,2,,,
262,1964,1963-09-25T00:00:00,,12115,,150,15.4,2,,,
263,1964,1963-09-25T00:00:00,,12116,,150,15.4,2,,,
264,1964,1963-09-25T00:00:00,,12117,,150,15.4,2,,,
265,1964,1963-09-25T00:00:00,,12118,,150,15.4,2,,,
266,1964,1963-09-25T00:00:00,,12119,,150,15.4,2,,,
267,1964,1963-09-25T00:00:00,,12120,,150,15.4,2,,,
268,1964,1963-09-25T00:00:00,,12121,,150,15.4,2,,,
269,1964,1963-09-25T00:00:00,,12122,,150,15.4,2,,,
270,1964,1963-09-25T00:00:00,,12123,,150,15.4,2,,,
271,1964,1963-09-25T00:00:00,,12124,,150,15.4,2,,,
272,1964,1963-09-25T00:00:00,,12125,,150,15.4,2,,,
273,1964,1963-09-25T00:00:00,,12126,,150,15.4,2,,,
274,1964,1963-09-25T00:00:00,,12127,,150,15.4,2,,,
275,1964,1963-09-25T00:00:00,,12128,,150,15.4,2,,,
276,1964,1963-09-25T00:00:00,,12129,,150,15.4,2,,,
277,1964,1963-09-25T00:00:00,,12130,,150,15.4,2,,,
278,1964,1963-09-25T00:00:00,,12131,,150,15.4,2,,,
279,1964,1963-09-25T00:00:00,,12132,,150,15.4,2,,,
280,1964,1963-09-25T00:00:00,,12133,,150,15.4,2,,,
281,1964,1963-09-25T00:00:00,,12134,,150,15.4,2,,,
282,1964,1963-09-25T00:00:00,,12135,,150,15.4,2,,,
283,1964,1963-09-25T00:00:00,,12136,,150,15.4,2,,,
284,1964,1963-09-25T00:00:00,,12137,,150,15.4,2,,,
285,1964,1963-09-25T00:00:00,,12138,,150,15.4,2,,,
286,1964,1963-09-25T00:00:00,,12139,,150,15.4,2,,,
287,1964,1963-09-25T00:00:00,,12140,,150,15.4,2,,,
288,1964,1963-09-25T00:00:00,,12141,,150,15.4,2,,,
289,1964,1963-09-25T00:00:00,,12142,,150,15.4,2,,,
290,1964,1963-09-25T00:00:00,,12143,,150,15.4,2,,,
291,1964,1963-09-25T00:00:00,,12144,,150,15.4,2,,,
292,1964,1963-09-25T00:00:00,,12145,,150,15.4,2,,,
293,1964,1963-09-25T00:00:00,,12146,,150,15.4,2,,,
294,1964,1963-09-25T00:00:00,,12147,,150,15.4,2,,,
295,1965,1965-05-24T00:00:00,,12001,,,62.5,3,,,
296,1965,1965-05-24T00:00:00,,12002,,,62.5,3,,,
297,1965,1965-05-24T00:00:00,,12003,,,62.5,3,,,
