Beregnung_ID,Versuchsjahr,Termin,Parzelle_ID,Menge,Bemerkungen_ID
340,1975,1975-06-27T00:00:00,12026,20,
341,1975,1975-06-27T00:00:00,12027,20,
342,1975,1975-06-27T00:00:00,12028,20,
343,1975,1975-06-27T00:00:00,12029,20,
344,1975,1975-06-27T00:00:00,12030,20,
345,1975,1975-06-27T00:00:00,12031,20,
346,1975,1975-06-27T00:00:00,12032,20,
347,1975,1975-06-27T00:00:00,12033,20,
348,1975,1975-06-27T00:00:00,12034,20,
349,1975,1975-06-27T00:00:00,12035,20,
350,1975,1975-06-27T00:00:00,12036,20,
351,1975,1975-06-27T00:00:00,12037,20,
352,1975,1975-06-27T00:00:00,12038,20,
353,1975,1975-06-27T00:00:00,12039,20,
354,1975,1975-06-27T00:00:00,12040,20,
355,1975,1975-06-27T00:00:00,12041,20,
356,1975,1975-06-27T00:00:00,12042,20,
357,1975,1975-06-27T00:00:00,12043,20,
358,1975,1975-06-27T00:00:00,12044,20,
359,1975,1975-06-27T00:00:00,12045,20,
360,1975,1975-06-27T00:00:00,12046,20,
361,1975,1975-06-27T00:00:00,12047,20,
362,1975,1975-06-27T00:00:00,12048,20,
363,1975,1975-06-27T00:00:00,12049,20,
364,1975,1975-06-27T00:00:00,12050,20,
365,1975,1975-06-27T00:00:00,12051,20,
366,1975,1975-06-27T00:00:00,12052,20,
367,1975,1975-06-27T00:00:00,12053,20,
368,1975,1975-06-27T00:00:00,12054,20,
369,1975,1975-06-27T00:00:00,12055,20,
370,1975,1975-06-27T00:00:00,12056,20,
371,1975,1975-06-27T00:00:00,12057,20,
372,1975,1975-06-27T00:00:00,12058,20,
373,1975,1975-06-27T00:00:00,12059,20,
374,1975,1975-06-27T00:00:00,12060,20,
375,1975,1975-06-27T00:00:00,12061,20,
376,1975,1975-06-27T00:00:00,12062,20,
377,1975,1975-06-27T00:00:00,12063,20,
378,1975,1975-06-27T00:00:00,12106,20,
379,1975,1975-06-27T00:00:00,12107,20,
380,1975,1975-06-27T00:00:00,12108,20,
381,1975,1975-06-27T00:00:00,12109,20,
382,1975,1975-06-27T00:00:00,12110,20,
383,1975,1975-06-27T00:00:00,12111,20,
384,1975,1975-06-27T00:00:00,12112,20,
385,1975,1975-06-27T00:00:00,12113,20,
386,1975,1975-06-27T00:00:00,12114,20,
387,1975,1975-06-27T00:00:00,12115,20,
388,1975,1975-06-27T00:00:00,12116,20,
389,1975,1975-06-27T00:00:00,12117,20,
390,1975,1975-06-27T00:00:00,12118,20,
391,1975,1975-06-27T00:00:00,12119,20,
392,1975,1975-06-27T00:00:00,12147,20,
393,1975,1975-06-27T00:00:00,12120,20,
394,1975,1975-06-27T00:00:00,12121,20,
395,1975,1975-06-27T00:00:00,12123,20,
396,1975,1975-06-27T00:00:00,12124,20,
397,1975,1975-06-27T00:00:00,12125,20,
398,1975,1975-06-27T00:00:00,12126,20,
399,1975,1975-06-27T00:00:00,12127,20,
400,1975,1975-06-27T00:00:00,12128,20,
401,1975,1975-06-27T00:00:00,12129,20,
402,1975,1975-06-27T00:00:00,12130,20,
403,1975,1975-06-27T00:00:00,12131,20,
404,1975,1975-06-27T00:00:00,12132,20,
405,1975,1975-06-27T00:00:00,12133,20,
406,1975,1975-06-27T00:00:00,12134,20,
407,1975,1975-06-27T00:00:00,12135,20,
408,1975,1975-06-27T00:00:00,12136,20,
409,1975,1975-06-27T00:00:00,12137,20,
410,1975,1975-06-27T00:00:00,12138,20,
411,1975,1975-06-27T00:00:00,12139,20,
412,1975,1975-06-27T00:00:00,12140,20,
413,1975,1975-06-27T00:00:00,12141,20,
414,1975,1975-06-27T00:00:00,12142,20,
415,1975,1975-06-27T00:00:00,12143,20,
416,1975,1975-06-27T00:00:00,12145,20,
417,1975,1975-06-27T00:00:00,12146,20,
418,1975,1975-06-27T00:00:00,12122,20,
419,1975,1975-06-27T00:00:00,12144,20,
420,1975,1975-06-27T00:00:00,12022,20,
421,1975,1975-07-03T00:00:00,12022,20,
422,1975,1975-07-03T00:00:00,12144,20,
423,1975,1975-07-03T00:00:00,12122,20,
424,1975,1975-07-03T00:00:00,12146,20,
425,1975,1975-07-03T00:00:00,12145,20,
426,1975,1975-07-03T00:00:00,12143,20,
427,1975,1975-07-03T00:00:00,12142,20,
428,1975,1975-07-03T00:00:00,12141,20,
429,1975,1975-07-03T00:00:00,12140,20,
430,1975,1975-07-03T00:00:00,12139,20,
431,1975,1975-07-03T00:00:00,12138,20,
432,1975,1975-07-03T00:00:00,12137,20,
433,1975,1975-07-03T00:00:00,12136,20,
434,1975,1975-07-03T00:00:00,12135,20,
435,1975,1975-07-03T00:00:00,12134,20,
436,1975,1975-07-03T00:00:00,12133,20,
437,1975,1975-07-03T00:00:00,12132,20,
438,1975,1975-07-03T00:00:00,12131,20,
439,1975,1975-07-03T00:00:00,12130,20,
440,1975,1975-07-03T00:00:00,12129,20,
441,1975,1975-07-03T00:00:00,12128,20,
442,1975,1975-07-03T00:00:00,12127,20,
443,1975,1975-07-03T00:00:00,12126,20,
444,1975,1975-07-03T00:00:00,12125,20,
445,1975,1975-07-03T00:00:00,12124,20,
