Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID,Bewaesserung,Wiederholung
3117,1982,12114,5,4,0,1
3118,1982,12115,5,3,0,1
3119,1982,12116,5,7,0,1
3120,1982,12117,5,9,0,1
3121,1982,12118,5,17,0,1
3122,1982,12119,5,20,0,1
3123,1982,12120,5,18,0,1
3124,1982,12121,5,21,0,1
3125,1982,12122,5,2,0,1
3126,1982,12123,5,15,0,1
3127,1982,12124,5,14,0,1
3128,1982,12125,5,19,0,1
3129,1982,12126,5,16,0,1
3130,1982,12127,5,4,0,1
3131,1982,12128,5,10,0,1
3132,1982,12129,5,7,0,1
3133,1982,12130,5,20,0,1
3134,1982,12131,5,5,0,1
3135,1982,12132,5,8,0,1
3136,1982,12133,5,11,0,1
3137,1982,12134,5,1,0,1
3138,1982,12135,5,12,0,1
3139,1982,12136,5,18,0,1
3140,1982,12137,5,2,0,1
3141,1982,12138,5,6,0,1
3142,1982,12139,5,13,0,1
3143,1982,12140,5,9,0,1
3144,1982,12141,5,17,0,1
3145,1982,12142,5,19,0,1
3146,1982,12143,5,15,0,1
3147,1982,12144,5,14,0,1
3148,1982,12145,5,3,0,1
3149,1982,12146,5,16,0,1
3150,1982,12147,5,21,0,1
3151,1982,12148,5,13,0,1
3152,1982,12149,5,15,0,1
3153,1982,12150,5,9,0,1
3154,1982,12151,5,3,0,1
3155,1982,12152,5,8,0,1
3156,1982,12153,5,12,0,1
3157,1982,12154,5,1,0,1
3158,1982,12155,5,14,0,1
3159,1982,12156,5,17,0,1
3160,1982,12157,5,4,0,1
3161,1982,12158,5,16,0,1
3162,1982,12159,5,21,0,1
3163,1982,12160,5,10,0,1
3164,1982,12161,5,7,0,1
3165,1982,12162,5,19,0,1
3166,1982,12163,5,11,0,1
3167,1982,12164,5,5,0,1
3168,1982,12165,5,6,0,1
3169,1982,12166,5,18,0,1
3170,1982,12167,5,20,0,1
3171,1982,12168,5,2,0,1
3172,1983,12001,3,13,0,1
3173,1983,12002,3,15,0,1
3174,1983,12003,3,9,0,1
3175,1983,12004,3,3,0,1
3176,1983,12005,3,8,0,1
3177,1983,12006,3,12,0,1
3178,1983,12007,3,1,0,1
3179,1983,12008,3,14,0,1
3180,1983,12009,3,17,0,1
3181,1983,12010,3,4,0,1
3182,1983,12011,3,16,0,1
3183,1983,12012,3,21,0,1
3184,1983,12013,3,10,0,1
3185,1983,12014,3,7,0,1
3186,1983,12015,3,19,0,1
3187,1983,12016,3,11,0,1
3188,1983,12017,3,5,0,1
3189,1983,12018,3,6,0,1
3190,1983,12019,3,18,0,1
3191,1983,12020,3,20,0,1
3192,1983,12021,3,2,0,1
3193,1983,12022,3,7,0,1
3194,1983,12023,3,6,0,1
3195,1983,12024,3,16,0,1
3196,1983,12025,3,9,0,1
3197,1983,12026,3,15,0,1
3198,1983,12027,3,4,0,1
3199,1983,12028,3,8,0,1
3200,1983,12029,3,5,0,1
3201,1983,12030,3,13,0,1
3202,1983,12031,3,12,0,1
3203,1983,12032,3,18,0,1
3204,1983,12033,3,1,0,1
3205,1983,12034,3,14,0,1
3206,1983,12035,3,17,0,1
3207,1983,12036,3,21,0,1
3208,1983,12037,3,20,0,1
3209,1983,12038,3,19,0,1
3210,1983,12039,3,10,0,1
3211,1983,12040,3,11,0,1
3212,1983,12041,3,2,0,1
3213,1983,12042,3,3,0,1
3214,1983,12043,3,10,0,1
3215,1983,12044,3,14,0,1
3216,1983,12045,3,21,0,1
3217,1983,12046,3,8,0,1
3218,1983,12047,3,7,0,1
3219,1983,12048,3,15,0,1
3220,1983,12049,3,12,0,1
3221,1983,12050,3,6,0,1
3222,1983,12051,3,9,0,1
3223,1983,12052,3,20,0,1
3224,1983,12053,3,19,0,1
3225,1983,12054,3,16,0,1
3226,1983,12055,3,18,0,1
3227,1983,12056,3,4,0,1
3228,1983,12057,3,3,0,1
3229,1983,12058,3,5,0,1
3230,1983,12059,3,17,0,1
3231,1983,12060,3,1,0,1
3232,1983,12061,3,2,0,1
3233,1983,12062,3,11,0,1
3234,1983,12063,3,13,0,1
3235,1983,12064,3,11,0,1
3236,1983,12065,3,2,0,1
3237,1983,12066,3,6,0,1
3238,1983,12067,3,12,0,1
3239,1983,12068,3,19,0,1
3240,1983,12069,3,7,0,1
3241,1983,12070,3,18,0,1
3242,1983,12071,3,20,0,1
3243,1983,12072,3,3,0,1
3244,1983,12073,3,13,0,1
3245,1983,12074,3,21,0,1
3246,1983,12075,3,17,0,1
3247,1983,12076,3,9,0,1
3248,1983,12077,3,5,0,1
3249,1983,12078,3,15,0,1
3250,1983,12079,3,16,0,1
3251,1983,12080,3,8,0,1
3252,1983,12081,3,4,0,1
3253,1983,12082,3,10,0,1
3254,1983,12083,3,1,0,1
3255,1983,12084,3,14,0,1
3256,1983,12085,3,2,0,1
3257,1983,12086,3,7,0,1
3258,1983,12087,3,11,0,1
3259,1983,12088,3,17,0,1
3260,1983,12089,3,4,0,1
3261,1983,12090,3,3,0,1
3262,1983,12091,3,10,0,1
3263,1983,12092,3,9,0,1
3264,1983,12093,3,18,0,1
3265,1983,12094,3,14,0,1
3266,1983,12095,3,5,0,1
3267,1983,12096,3,20,0,1
3268,1983,12097,3,21,0,1
3269,1983,12098,3,15,0,1
3270,1983,12099,3,16,0,1
3271,1983,12100,3,8,0,1
3272,1983,12101,3,1,0,1
3273,1983,12102,3,13,0,1
3274,1983,12103,3,12,0,1
3275,1983,12104,3,6,0,1
3276,1983,12105,3,19,0,1
3277,1983,12106,3,12,0,1
3278,1983,12107,3,1,0,1
3279,1983,12108,3,10,0,1
3280,1983,12109,3,11,0,1
3281,1983,12110,3,13,0,1
3282,1983,12111,3,5,0,1
3283,1983,12112,3,6,0,1
3284,1983,12113,3,8,0,1
3285,1983,12114,3,4,0,1
3286,1983,12115,3,3,0,1
3287,1983,12116,3,7,0,1
3288,1983,12117,3,9,0,1
3289,1983,12118,3,17,0,1
3290,1983,12119,3,20,0,1
3291,1983,12120,3,18,0,1
3292,1983,12121,3,21,0,1
3293,1983,12122,3,2,0,1
3294,1983,12123,3,15,0,1
3295,1983,12124,3,14,0,1
3296,1983,12125,3,19,0,1
3297,1983,12126,3,16,0,1
3298,1983,12127,3,4,0,1
3299,1983,12128,3,10,0,1
3300,1983,12129,3,7,0,1
3301,1983,12130,3,20,0,1
3302,1983,12131,3,5,0,1
3303,1983,12132,3,8,0,1
3304,1983,12133,3,11,0,1
3305,1983,12134,3,1,0,1
3306,1983,12135,3,12,0,1
3307,1983,12136,3,18,0,1
3308,1983,12137,3,2,0,1
3309,1983,12138,3,6,0,1
3310,1983,12139,3,13,0,1
3311,1983,12140,3,9,0,1
3312,1983,12141,3,17,0,1
3313,1983,12142,3,19,0,1
3314,1983,12143,3,15,0,1
3315,1983,12144,3,14,0,1
3316,1983,12145,3,3,0,1
3317,1983,12146,3,16,0,1
3318,1983,12147,3,21,0,1
3319,1983,12148,3,13,0,1
3320,1983,12149,3,15,0,1
3321,1983,12150,3,9,0,1
3322,1983,12151,3,3,0,1
3323,1983,12152,3,8,0,1
3324,1983,12153,3,12,0,1
3325,1983,12154,3,1,0,1
3326,1983,12155,3,14,0,1
3327,1983,12156,3,17,0,1
3328,1983,12157,3,4,0,1
3329,1983,12158,3,16,0,1
3330,1983,12159,3,21,0,1
3331,1983,12160,3,10,0,1
3332,1983,12161,3,7,0,1
3333,1983,12162,3,19,0,1
3334,1983,12163,3,11,0,1
3335,1983,12164,3,5,0,1
3336,1983,12165,3,6,0,1
3337,1983,12166,3,18,0,1
3338,1983,12167,3,20,0,1
3339,1983,12168,3,2,0,1
3340,1984,12001,8,13,0,1
3341,1984,12002,8,15,0,1
3342,1984,12003,8,9,0,1
3343,1984,12004,8,3,0,1
3344,1984,12005,8,8,0,1
3345,1984,12006,8,12,0,1
3346,1984,12007,8,1,0,1
3347,1984,12008,8,14,0,1
3348,1984,12009,8,17,0,1
3349,1984,12010,8,4,0,1
3350,1984,12011,8,16,0,1
3351,1984,12012,8,21,0,1
3352,1984,12013,8,10,0,1
3353,1984,12014,8,7,0,1
3354,1984,12015,8,19,0,1
3355,1984,12016,8,11,0,1
3356,1984,12017,8,5,0,1
3357,1984,12018,8,6,0,1
3358,1984,12019,8,18,0,1
3359,1984,12020,8,20,0,1
3360,1984,12021,8,2,0,1
3361,1984,12022,8,7,0,1
3362,1984,12023,8,6,0,1
3363,1984,12024,8,16,0,1
3364,1984,12025,8,9,0,1
3365,1984,12026,8,15,0,1
3366,1984,12027,8,4,0,1
3367,1984,12028,8,8,0,1
3368,1984,12029,8,5,0,1
3369,1984,12030,8,13,0,1
3370,1984,12031,8,12,0,1
3371,1984,12032,8,18,0,1
3372,1984,12033,8,1,0,1
