Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID
344,1985,1985-04-20T00:00:00,88,6.5,9,5
345,1985,1985-04-20T00:00:00,129,6.5,9,5
346,1986,1985-08-09T00:00:00,8,6.5,1,2
347,1986,1985-08-09T00:00:00,47,6.5,1,2
348,1986,1985-08-09T00:00:00,98,6.5,1,2
349,1986,1985-08-09T00:00:00,11,6.5,1,2
350,1986,1985-08-09T00:00:00,62,6.5,1,2
351,1986,1985-08-09T00:00:00,101,6.5,1,2
352,1986,1985-08-09T00:00:00,26,6.5,1,2
353,1986,1985-08-09T00:00:00,65,6.5,1,2
354,1986,1985-08-09T00:00:00,116,6.5,1,2
355,1986,1985-08-09T00:00:00,29,6.5,1,2
356,1986,1985-08-09T00:00:00,80,6.5,1,2
357,1986,1985-08-09T00:00:00,119,6.5,1,2
358,1986,1985-08-09T00:00:00,44,6.5,1,2
359,1986,1985-08-09T00:00:00,83,6.5,1,2
360,1986,1985-08-09T00:00:00,134,6.5,1,2
361,1986,1985-08-12T00:00:00,9,6.5,1,2
362,1986,1985-08-12T00:00:00,46,6.5,1,2
363,1986,1985-08-12T00:00:00,99,6.5,1,2
364,1986,1985-08-12T00:00:00,10,6.5,1,2
365,1986,1985-08-12T00:00:00,63,6.5,1,2
366,1986,1985-08-12T00:00:00,100,6.5,1,2
367,1986,1985-08-12T00:00:00,27,6.5,1,2
368,1986,1985-08-12T00:00:00,64,6.5,1,2
369,1986,1985-08-12T00:00:00,117,6.5,1,2
370,1986,1985-08-12T00:00:00,28,6.5,1,2
371,1986,1985-08-12T00:00:00,81,6.5,1,2
372,1986,1985-08-12T00:00:00,118,6.5,1,2
373,1986,1985-08-12T00:00:00,45,6.5,1,2
374,1986,1985-08-12T00:00:00,82,6.5,1,2
375,1986,1985-08-12T00:00:00,135,6.5,1,2
376,1986,1985-09-17T00:00:00,4,6.5,1,2
377,1986,1985-09-17T00:00:00,51,6.5,1,2
378,1986,1985-09-17T00:00:00,94,6.5,1,2
379,1986,1985-09-17T00:00:00,15,6.5,1,2
380,1986,1985-09-17T00:00:00,58,6.5,1,2
381,1986,1985-09-17T00:00:00,105,6.5,1,2
382,1986,1985-09-17T00:00:00,22,6.5,1,2
383,1986,1985-09-17T00:00:00,69,6.5,1,2
384,1986,1985-09-17T00:00:00,112,6.5,1,2
385,1986,1985-09-17T00:00:00,33,6.5,1,2
386,1986,1985-09-17T00:00:00,76,6.5,1,2
387,1986,1985-09-17T00:00:00,123,6.5,1,2
388,1986,1985-09-17T00:00:00,40,6.5,1,2
389,1986,1985-09-17T00:00:00,87,6.5,1,2
390,1986,1985-09-17T00:00:00,130,6.5,1,2
391,1986,1985-09-17T00:00:00,5,6.5,1,2
392,1986,1985-09-17T00:00:00,50,6.5,1,2
393,1986,1985-09-17T00:00:00,95,6.5,1,2
394,1986,1985-09-17T00:00:00,14,6.5,1,2
395,1986,1985-09-17T00:00:00,59,6.5,1,2
396,1986,1985-09-17T00:00:00,104,6.5,1,2
397,1986,1985-09-17T00:00:00,23,6.5,1,2
398,1986,1985-09-17T00:00:00,68,6.5,1,2
399,1986,1985-09-17T00:00:00,113,6.5,1,2
400,1986,1985-09-17T00:00:00,32,6.5,1,2
401,1986,1985-09-17T00:00:00,77,6.5,1,2
402,1986,1985-09-17T00:00:00,122,6.5,1,2
403,1986,1985-09-17T00:00:00,41,6.5,1,2
404,1986,1985-09-17T00:00:00,86,6.5,1,2
405,1986,1985-09-17T00:00:00,131,6.5,1,2
406,1986,1985-09-17T00:00:00,6,6.5,1,2
407,1986,1985-09-17T00:00:00,49,6.5,1,2
408,1986,1985-09-17T00:00:00,96,6.5,1,2
409,1986,1985-09-17T00:00:00,13,6.5,1,2
410,1986,1985-09-17T00:00:00,60,6.5,1,2
411,1986,1985-09-17T00:00:00,103,6.5,1,2
412,1986,1985-09-17T00:00:00,24,6.5,1,2
413,1986,1985-09-17T00:00:00,67,6.5,1,2
