Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID
1430,1995,63,6,12
1431,1995,100,6,12
1432,1995,27,6,13
1433,1995,64,6,13
1434,1995,117,6,13
1435,1995,28,6,14
1436,1995,81,6,14
1437,1995,118,6,14
1438,1995,45,6,15
1439,1995,82,6,15
1440,1995,135,6,15
1441,1995,1,5,1
1442,1995,54,5,1
1443,1995,91,5,1
1444,1995,18,5,2
1445,1995,55,5,2
1446,1995,108,5,2
1447,1995,19,5,3
1448,1995,72,5,3
1449,1995,109,5,3
1450,1995,36,5,4
1451,1995,73,5,4
1452,1995,126,5,4
1453,1995,37,5,5
1454,1995,90,5,5
1455,1995,127,5,5
1456,1995,2,5,6
1457,1995,53,5,6
1458,1995,92,5,6
1459,1995,17,5,7
1460,1995,56,5,7
1461,1995,107,5,7
1462,1995,20,5,8
1463,1995,71,5,8
1464,1995,110,5,8
1465,1995,35,5,9
1466,1995,74,5,9
1467,1995,125,5,9
1468,1995,38,5,10
1469,1995,89,5,10
1470,1995,128,5,10
1471,1995,3,5,11
1472,1995,52,5,11
1473,1995,93,5,11
1474,1995,16,5,12
1475,1995,57,5,12
1476,1995,106,5,12
1477,1995,21,5,13
1478,1995,70,5,13
1479,1995,111,5,13
1480,1995,34,5,14
1481,1995,75,5,14
1482,1995,124,5,14
1483,1995,39,5,15
1484,1995,88,5,15
1485,1995,129,5,15
1486,1995,4,4,1
1487,1995,51,4,1
1488,1995,94,4,1
1489,1995,15,4,2
1490,1995,58,4,2
1491,1995,105,4,2
1492,1995,22,4,3
1493,1995,69,4,3
1494,1995,112,4,3
1495,1995,33,4,4
1496,1995,76,4,4
1497,1995,123,4,4
1498,1995,40,4,5
1499,1995,87,4,5
1500,1995,130,4,5
1501,1995,5,4,6
1502,1995,50,4,6
1503,1995,95,4,6
1504,1995,14,4,7
1505,1995,59,4,7
1506,1995,104,4,7
1507,1995,23,4,8
1508,1995,68,4,8
1509,1995,113,4,8
1510,1995,32,4,9
1511,1995,77,4,9
1512,1995,122,4,9
1513,1995,41,4,10
1514,1995,86,4,10
1515,1995,131,4,10
1516,1995,6,4,11
1517,1995,49,4,11
1518,1995,96,4,11
1519,1995,13,4,12
1520,1995,60,4,12
1521,1995,103,4,12
1522,1995,24,4,13
1523,1995,67,4,13
1524,1995,114,4,13
1525,1995,31,4,14
1526,1995,78,4,14
1527,1995,121,4,14
1528,1995,42,4,15
1529,1995,85,4,15
1530,1995,132,4,15
1531,1996,4,6,1
1532,1996,51,6,1
1533,1996,94,6,1
1534,1996,15,6,2
1535,1996,58,6,2
1536,1996,105,6,2
1537,1996,22,6,3
1538,1996,69,6,3
1539,1996,112,6,3
1540,1996,33,6,4
1541,1996,76,6,4
1542,1996,123,6,4
1543,1996,40,6,5
1544,1996,87,6,5
1545,1996,130,6,5
1546,1996,5,6,6
1547,1996,50,6,6
1548,1996,95,6,6
1549,1996,14,6,7
1550,1996,59,6,7
1551,1996,104,6,7
1552,1996,23,6,8
1553,1996,68,6,8
1554,1996,113,6,8
1555,1996,32,6,9
1556,1996,77,6,9
1557,1996,122,6,9
1558,1996,41,6,10
1559,1996,86,6,10
1560,1996,131,6,10
1561,1996,6,6,11
1562,1996,49,6,11
1563,1996,96,6,11
1564,1996,13,6,12
1565,1996,60,6,12
1566,1996,103,6,12
1567,1996,24,6,13
1568,1996,67,6,13
1569,1996,114,6,13
1570,1996,31,6,14
1571,1996,78,6,14
1572,1996,121,6,14
1573,1996,42,6,15
1574,1996,85,6,15
1575,1996,132,6,15
1576,1996,7,5,1
1577,1996,48,5,1
1578,1996,97,5,1
1579,1996,12,5,2
1580,1996,61,5,2
1581,1996,102,5,2
1582,1996,25,5,3
1583,1996,66,5,3
1584,1996,115,5,3
1585,1996,30,5,4
1586,1996,79,5,4
1587,1996,120,5,4
1588,1996,43,5,5
1589,1996,84,5,5
1590,1996,133,5,5
1591,1996,8,5,6
1592,1996,47,5,6
1593,1996,98,5,6
1594,1996,11,5,7
1595,1996,62,5,7
1596,1996,101,5,7
1597,1996,26,5,8
1598,1996,65,5,8
1599,1996,116,5,8
1600,1996,29,5,9
1601,1996,80,5,9
1602,1996,119,5,9
1603,1996,44,5,10
1604,1996,83,5,10
1605,1996,134,5,10
1606,1996,9,5,11
1607,1996,46,5,11
1608,1996,99,5,11
1609,1996,10,5,12
1610,1996,63,5,12
1611,1996,100,5,12
1612,1996,27,5,13
1613,1996,64,5,13
1614,1996,117,5,13
1615,1996,28,5,14
1616,1996,81,5,14
1617,1996,118,5,14
1618,1996,45,5,15
1619,1996,82,5,15
1620,1996,135,5,15
1621,1996,1,4,1
1622,1996,54,4,1
1623,1996,91,4,1
1624,1996,18,4,2
1625,1996,55,4,2
1626,1996,108,4,2
1627,1996,19,4,3
1628,1996,72,4,3
1629,1996,109,4,3
1630,1996,36,4,4
1631,1996,73,4,4
1632,1996,126,4,4
1633,1996,37,4,5
1634,1996,90,4,5
1635,1996,127,4,5
1636,1996,2,4,6
1637,1996,53,4,6
1638,1996,92,4,6
1639,1996,17,4,7
1640,1996,56,4,7
1641,1996,107,4,7
1642,1996,20,4,8
1643,1996,71,4,8
1644,1996,110,4,8
1645,1996,35,4,9
1646,1996,74,4,9
1647,1996,125,4,9
1648,1996,38,4,10
1649,1996,89,4,10
1650,1996,128,4,10
1651,1996,3,4,11
1652,1996,52,4,11
1653,1996,93,4,11
1654,1996,16,4,12
1655,1996,57,4,12
1656,1996,106,4,12
1657,1996,21,4,13
1658,1996,70,4,13
1659,1996,111,4,13
1660,1996,34,4,14
1661,1996,75,4,14
1662,1996,124,4,14
1663,1996,39,4,15
1664,1996,88,4,15
1665,1996,129,4,15
1666,1997,1,6,1
1667,1997,54,6,1
1668,1997,91,6,1
1669,1997,18,6,2
1670,1997,55,6,2
1671,1997,108,6,2
1672,1997,19,6,3
1673,1997,72,6,3
1674,1997,109,6,3
1675,1997,36,6,4
1676,1997,73,6,4
1677,1997,126,6,4
1678,1997,37,6,5
1679,1997,90,6,5
1680,1997,127,6,5
1681,1997,2,6,6
1682,1997,53,6,6
1683,1997,92,6,6
1684,1997,17,6,7
1685,1997,56,6,7
1686,1997,107,6,7
1687,1997,20,6,8
1688,1997,71,6,8
1689,1997,110,6,8
1690,1997,35,6,9
1691,1997,74,6,9
1692,1997,125,6,9
1693,1997,38,6,10
1694,1997,89,6,10
1695,1997,128,6,10
1696,1997,3,6,11
1697,1997,52,6,11
1698,1997,93,6,11
1699,1997,16,6,12
1700,1997,57,6,12
1701,1997,106,6,12
1702,1997,21,6,13
1703,1997,70,6,13
1704,1997,111,6,13
1705,1997,34,6,14
1706,1997,75,6,14
1707,1997,124,6,14
1708,1997,39,6,15
1709,1997,88,6,15
1710,1997,129,6,15
1711,1997,136,6,16
1712,1997,183,6,16
1713,1997,207,6,16
1714,1997,147,6,17
1715,1997,184,6,17
1716,1997,220,6,17
1717,1997,148,6,18
1718,1997,171,6,18
1719,1997,196,6,18
1720,1997,159,6,19
1721,1997,195,6,19
1722,1997,219,6,19
1723,1997,160,6,20
1724,1997,172,6,20
1725,1997,208,6,20
1726,1997,137,6,21
1727,1997,182,6,21
1728,1997,206,6,21
1729,1997,146,6,22
1730,1997,185,6,22
1731,1997,221,6,22
1732,1997,149,6,23
1733,1997,170,6,23
1734,1997,197,6,23
1735,1997,158,6,24
1736,1997,194,6,24
1737,1997,218,6,24
1738,1997,161,6,25
1739,1997,173,6,25
1740,1997,209,6,25
1741,1997,4,5,1
1742,1997,51,5,1
1743,1997,94,5,1
1744,1997,15,5,2
1745,1997,58,5,2
1746,1997,105,5,2
1747,1997,22,5,3
1748,1997,69,5,3
1749,1997,112,5,3
1750,1997,33,5,4
1751,1997,76,5,4
1752,1997,123,5,4
1753,1997,40,5,5
1754,1997,87,5,5
1755,1997,130,5,5
1756,1997,5,5,6
1757,1997,50,5,6
1758,1997,95,5,6
1759,1997,14,5,7
1760,1997,59,5,7
1761,1997,104,5,7
1762,1997,23,5,8
1763,1997,68,5,8
1764,1997,113,5,8
1765,1997,32,5,9
1766,1997,77,5,9
1767,1997,122,5,9
1768,1997,41,5,10
1769,1997,86,5,10
1770,1997,131,5,10
1771,1997,6,5,11
1772,1997,49,5,11
1773,1997,96,5,11
1774,1997,13,5,12
1775,1997,60,5,12
1776,1997,103,5,12
1777,1997,24,5,13
1778,1997,67,5,13
1779,1997,114,5,13
1780,1997,31,5,14
1781,1997,78,5,14
1782,1997,121,5,14
1783,1997,42,5,15
1784,1997,85,5,15
1785,1997,132,5,15
1786,1997,138,3,16
1787,1997,181,3,16
1788,1997,205,3,16
1789,1997,145,3,17
1790,1997,186,3,17
1791,1997,222,3,17
1792,1997,150,3,18
1793,1997,169,3,18
1794,1997,198,3,18
1795,1997,157,3,19
1796,1997,193,3,19
1797,1997,217,3,19
1798,1997,162,3,20
1799,1997,174,3,20
1800,1997,210,3,20
1801,1997,139,3,21
1802,1997,180,3,21
1803,1997,204,3,21
1804,1997,144,3,22
1805,1997,187,3,22
1806,1997,223,3,22
1807,1997,151,3,23
1808,1997,168,3,23
1809,1997,199,3,23
1810,1997,156,3,24
1811,1997,192,3,24
1812,1997,216,3,24
1813,1997,163,3,25
1814,1997,175,3,25
1815,1997,211,3,25
1816,1997,7,4,1
1817,1997,48,4,1
1818,1997,97,4,1
1819,1997,12,4,2
1820,1997,61,4,2
1821,1997,102,4,2
1822,1997,25,4,3
1823,1997,66,4,3
1824,1997,115,4,3
1825,1997,30,4,4
1826,1997,79,4,4
1827,1997,120,4,4
1828,1997,43,4,5
1829,1997,84,4,5
1830,1997,133,4,5
1831,1997,8,4,6
1832,1997,47,4,6
1833,1997,98,4,6
1834,1997,11,4,7
1835,1997,62,4,7
1836,1997,101,4,7
1837,1997,26,4,8
1838,1997,65,4,8
1839,1997,116,4,8
1840,1997,29,4,9
1841,1997,80,4,9
1842,1997,119,4,9
1843,1997,44,4,10
1844,1997,83,4,10
1845,1997,134,4,10
1846,1997,9,4,11
1847,1997,46,4,11
1848,1997,99,4,11
1849,1997,10,4,12
1850,1997,63,4,12
1851,1997,100,4,12
1852,1997,27,4,13
1853,1997,64,4,13
1854,1997,117,4,13
1855,1997,28,4,14
1856,1997,81,4,14
1857,1997,118,4,14
1858,1997,45,4,15
1859,1997,82,4,15
1860,1997,135,4,15
1861,1997,140,2,16
1862,1997,179,2,16
1863,1997,203,2,16
1864,1997,143,2,17
1865,1997,188,2,17
1866,1997,224,2,17
1867,1997,152,2,18
1868,1997,167,2,18
1869,1997,200,2,18
1870,1997,155,2,19
1871,1997,191,2,19
1872,1997,215,2,19
1873,1997,164,2,20
1874,1997,176,2,20
1875,1997,212,2,20
1876,1997,141,2,21
1877,1997,178,2,21
1878,1997,202,2,21
1879,1997,142,2,22
1880,1997,189,2,22
1881,1997,225,2,22
1882,1997,153,2,23
1883,1997,166,2,23
1884,1997,201,2,23
1885,1997,154,2,24
1886,1997,190,2,24
1887,1997,214,2,24
1888,1997,165,2,25
1889,1997,177,2,25
1890,1997,213,2,25
1891,1998,7,6,1
1892,1998,48,6,1
1893,1998,97,6,1
1894,1998,12,6,2
1895,1998,61,6,2
1896,1998,102,6,2
1897,1998,25,6,3
1898,1998,66,6,3
1899,1998,115,6,3
1900,1998,30,6,4
1901,1998,79,6,4
1902,1998,120,6,4
1903,1998,43,6,5
1904,1998,84,6,5
1905,1998,133,6,5
1906,1998,8,6,6
1907,1998,47,6,6
1908,1998,98,6,6
1909,1998,11,6,7
1910,1998,62,6,7
1911,1998,101,6,7
1912,1998,26,6,8
1913,1998,65,6,8
1914,1998,116,6,8
1915,1998,29,6,9
1916,1998,80,6,9
1917,1998,119,6,9
1918,1998,44,6,10
1919,1998,83,6,10
1920,1998,134,6,10
1921,1998,9,6,11
1922,1998,46,6,11
1923,1998,99,6,11
1924,1998,10,6,12
1925,1998,63,6,12
1926,1998,100,6,12
1927,1998,27,6,13
1928,1998,64,6,13
1929,1998,117,6,13
1930,1998,28,6,14
1931,1998,81,6,14
1932,1998,118,6,14
1933,1998,45,6,15
1934,1998,82,6,15
1935,1998,135,6,15
1936,1998,140,6,16
1937,1998,179,6,16
1938,1998,203,6,16
1939,1998,143,6,17
1940,1998,188,6,17
1941,1998,224,6,17
1942,1998,152,6,18
1943,1998,167,6,18
1944,1998,200,6,18
1945,1998,155,6,19
1946,1998,191,6,19
1947,1998,215,6,19
1948,1998,164,6,20
1949,1998,176,6,20
1950,1998,212,6,20
1951,1998,141,6,21
1952,1998,178,6,21
1953,1998,202,6,21
1954,1998,142,6,22
1955,1998,189,6,22
1956,1998,225,6,22
1957,1998,153,6,23
1958,1998,166,6,23
1959,1998,201,6,23
1960,1998,154,6,24
1961,1998,190,6,24
1962,1998,214,6,24
1963,1998,165,6,25
1964,1998,177,6,25
1965,1998,213,6,25
1966,1998,1,5,1
1967,1998,54,5,1
1968,1998,91,5,1
1969,1998,18,5,2
